Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,24%,65%,11%
North Carolina,24%,63%,13%
Tennessee,22%,66%,12%
West Virginia,25%,62%,13%
Illinois,24%,62%,14%
Kentucky,23%,65%,12%
Georgia,24%,62%,14%
Virginia,25%,62%,13%
Utah,21%,65%,14%
Alabama,22%,65%,13%
Oklahoma,19%,69%,12%
Arizona,21%,65%,14%
Indiana,23%,63%,14%
Arkansas,20%,68%,12%
Rhode Island,23%,64%,13%
Delaware,23%,64%,13%
Nevada,20%,67%,13%
Florida,23%,63%,14%
Pennsylvania,22%,61%,17%
Texas,21%,66%,13%
Maryland,22%,63%,15%
Michigan,21%,65%,14%
Kansas,19%,67%,14%
New Jersey,23%,61%,16%
Missouri,19%,67%,14%
Mississippi,19%,70%,11%
Connecticut,22%,64%,14%
Ohio,21%,65%,14%
Wisconsin,20%,67%,13%
Idaho,19%,67%,14%
Nebraska,19%,69%,12%
Iowa,19%,68%,13%
Louisiana,19%,68%,13%
California,20%,65%,15%
North Dakota,19%,69%,12%
Minnesota,19%,67%,14%
New York,21%,64%,15%
New Hampshire,20%,67%,13%
Oregon,18%,69%,13%
Massachusetts,22%,61%,17%
New Mexico,18%,67%,15%
Colorado,18%,67%,15%
Washington,18%,68%,14%
South Dakota,14%,76%,10%
Maine,18%,70%,12%
Wyoming,16%,71%,13%
Vermont,17%,69%,14%
Montana,14%,74%,12%
Alaska,15%,72%,13%
Hawaii,13%,73%,14%
District of Columbia,17%,66%,17%
